record_id,store_name,date,item_name,department,price,on_sale,sale_amount,final_price
197,SHOPRITE,4/3/2025,Whiting Fillets,Meat,6.98,1,-1,5.98
198,SHOPRITE,4/3/2025,Tulips,Household,5.99,0,0,5.99
199,SHOPRITE,4/3/2025,Hyacinth,Household,5.99,0,0,5.99
200,SHOPRITE,4/3/2025,Hyacinth,Household,5.99,0,0,5.99
201,SHOPRITE,4/3/2025,Daffodils,Household,5.99,0,0,5.99
202,SHOPRITE,4/27/2025,Hard/Soft Taco Shells,Bread,3.79,1,-0.8,2.99
203,SHOPRITE,4/27/2025,Hamburger Buns,Bread,2.49,1,-1.8,0.69
204,SHOPRITE,4/27/2025,Hamburger Buns,Bread,1.49,0,0,1.49
205,SHOPRITE,4/27/2025,Folgers Coffee,Pantry,5.69,1,-1.1,4.59
206,SHOPRITE,4/27/2025,Barbeque Sauce,Pantry,2.49,1,-0.2,2.29
207,SHOPRITE,4/27/2025,Caribbean Jerk Seasoning,Pantry,3.29,1,-0.2,3.09
208,SHOPRITE,4/27/2025,Honey Bourbon Sauce,Pantry,3.29,1,-0.2,3.09
209,SHOPRITE,4/27/2025,Lemon Pepper Marinade,Pantry,3.29,1,-0.2,3.09
210,SHOPRITE,4/27/2025,Freezer Bags,Pantry,1.29,1,-0.9,0.39
211,SHOPRITE,4/27/2025,Sugar,Sugar,2.99,0,0,2.99
212,SHOPRITE,4/27/2025,Garlic and Herb Seasoning,Seasoning,2.44,1,-1.35,1.09
213,SHOPRITE,4/27/2025,Butter Garlic Seasoning,Seasoning,2.44,1,-1.35,1.09
214,SHOPRITE,4/27/2025,Jamaican Jerk Rub,Seasoning,2.49,0,0,2.49
215,SHOPRITE,4/27/2025,Sweet Tarts,Snacks,1.79,0,0,1.79
216,SHOPRITE,4/27/2025,Coconut Milk,Pantry,1.59,0,0,1.59
217,SHOPRITE,4/27/2025,Penne Pasta,Pantry,1.29,1,-0.1,1.19
218,SHOPRITE,4/27/2025,Snapple Fruit Punch,Beverages,3.17,1,-0.12,3.05
219,SHOPRITE,4/27/2025,Snapple Mango Madness,Beverages,3.17,1,-0.12,3.05
220,SHOPRITE,4/27/2025,Snapple Apple,Beverages,3.17,1,-0.12,3.05
221,SHOPRITE,4/27/2025,Ginger Ale,Beverages,1.89,0,0,1.89
222,SHOPRITE,4/27/2025,Honey Wheat Bread,Bread,1.99,1,-0.5,1.49
223,SHOPRITE,4/27/2025,Thomas' English Muffins,Bread,2.99,1,-2.3,0.69
224,SHOPRITE,4/27/2025,Perfect Chicken Breasts,Meat,7.99,1,-2,5.99
225,SHOPRITE,4/27/2025,Ground Turkey,Meat,10.98,0,0,10.98
226,SHOPRITE,4/27/2025,Chicken Wing Sections,Meat,11.99,0,0,11.99
227,SHOPRITE,4/27/2025,Green Pepper,Produce,0.64,1,-0.43,0.21
228,SHOPRITE,4/27/2025,Red Peppers,Produce,1,1,-0.76,0.24
229,SHOPRITE,4/27/2025,Yellow Peppers,Produce,1.64,0,0,1.64
230,SHOPRITE,4/27/2025,Scallions,Produce,0.99,0,0,0.99
231,SHOPRITE,4/27/2025,Turkey Franks,Meat,3.69,0,0,3.69
232,SHOPRITE,4/27/2025,Crest Toothpaste,Household,1.99,1,-0.5,1.49
